IND	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL
OTH	@USER Liberals are all Kookoo !!!
GRP	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
IND	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo
IND	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL
OTH	@USER @USER @USER gun control! That is all these kids are asking for!
IND	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL
GRP	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
GRP	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔
IND	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..
GRP	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
IND	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL
GRP	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke
GRP	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
IND	@USER Fuck off
OTH	@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""
IND	@USER @USER She is useless.  Attempts to do the right thing but never follows through.
IND	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.
IND	@USER Trump kicks dem butt - its so fun.
IND	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.
IND	@USER And this from the clown that should be in prison?
IND	@USER Thats because you are an old man.
OTH	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!
GRP	@USER I mean it worked for gun control right? URL
IND	@USER She is drinking so much koolaid she’s bloated.
IND	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
IND	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL
IND	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!
GRP	@USER Fuck em
IND	@USER Good move....he is the big loser
IND	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.
IND	@USER @USER @USER please don't kill me. antifa on the other hand...
IND	@USER @USER She is an ugly black hearted troll URL
IND	@USER @USER We have been saved from you! MAGA!
IND	@USER You can probably imagine all the SJW snowflakes that don't feel safe" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."
GRP	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL
IND	@USER SJSHSJ THATS MY JOB BITCH
IND	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat
GRP	@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"
IND	@USER Let the leftist democrats riot in the streets with their antifa counterparts.
IND	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.
GRP	@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!
GRP	@USER This game sucks donkey balls
IND	@USER Absolutely should be a nail in the coffin.... for Hilliary
IND	@USER He is a DUMBASS !!!!!
GRP	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL
IND	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL
IND	@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail
IND	@USER Oh my Carmen. He is SO FRICKING CUTE
IND	@USER Chelsea is as crazy as her mother
GRP	@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"
GRP	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!
GRP	@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.
GRP	@USER Yes do hurt your selves gun control freaks.
